Channel,How data was used in LVK analyses,Sample Rate (Hz)
H1:CAL-PCALX_RX_PD_OUT_DQ,H1 line subtraction,16384
H1:CAL-PCALY_RX_PD_OUT_DQ,H1 line subtraction,16384
H1:IMC-WFS_A_DC_PIT_OUT_DQ,H1 NonSENS subtraction,2048 until  GPS = 1373157695 then 16384
H1:IMC-WFS_A_DC_YAW_OUT_DQ,H1 NonSENS subtraction,2048  until  GPS = 1373157695 then 16384
H1:LSC-POP_A_LF_OUT_DQ,DQ Flag,2048
H1:LSC-REFL_A_RIN_OUT_DQ,H1 NonSENS subtraction,16384
H1:OAF-IMC_WFS_A_DC_PIT_PREFILT_OUT_DQ,H1 NonSENS subtraction,16384
H1:OAF-IMC_WFS_A_DC_YAW_PREFILT_OUT_DQ,H1 NonSENS subtraction,16384
H1:OAF-REFL_A_RIN_PREFILT_OUT_DQ,H1 NonSENS subtraction,16384
H1:PEM-EY_MAINSMON_EBAY_1_DQ,H1 line subtraction,8192
H1:SUS-ETMX_L1_CAL_LINE_OUT_DQ,H1 line subtraction,512
H1:SUS-ETMX_L2_CAL_LINE_OUT_DQ,H1 line subtraction,512
H1:SUS-ETMX_L3_CAL_LINE_OUT_DQ,H1 line subtraction,512
H1:SUS-PI_PROC_COMPUTE_MODE29_RMSMON,DQ Flag,16
L1:ASC-X_TR_A_NSUM_OUT_DQ,DQ Flag,2048
L1:CAL-PCALX_RX_PD_OUT_DQ,L1 line subtraction,16384
L1:CAL-PCALY_RX_PD_OUT_DQ,L1 line subtraction,16384
L1:IMC-WFS_B_I_PIT_OUT_DQ,L1 NonSENS subtraction,2048
L1:OAF-IMC_WFS_B_I_PIT_PREFILT_OUT_DQ,L1 NonSENS subtraction,16384
L1:PEM-EX_VMON_ETMX_ESDPOWER24_DQ,DQ Flag,8192
L1:PEM-EY_MAINSMON_EBAY_1_DQ,L1 line subtraction,8192
L1:SUS-ETMX_L1_CAL_LINE_OUT_DQ,L1 line subtraction,512
L1:SUS-ETMX_L2_CAL_LINE_OUT_DQ,L1 line subtraction,512
L1:SUS-ETMX_L3_CAL_LINE_OUT_DQ,L1 line subtraction,512
L1:SUS-PI_PROC_COMPUTE_MODE5_RMSMON,DQ Flag,16
