gps_start,detector,session_id,origin_table,local_cluster_id,global_family_id,max_similarity_to_3a,transitivity_status,gravity_spy_label,gravity_spy_confidence,robustness_class_idxq4_64_queryq4_64,native_score_idxq4_64_queryq4_64,robustness_class,native_o4a_score
1368981884.0,L1,1368973312,3a,C11,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.4383041858673095,ROBUST,0.4383041858673095
1368986076.0,H1,1368973312,3a,C4,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.3507210910320282,ROBUST,0.3507210910320282
1368986812.0,L1,1368973312,3a,C11,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.4305736720561981,ROBUST,0.4305736720561981
1368987324.0,H1,1368973312,3a,C13,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.0802247896790504,BACKGROUND,0.0802247896790504
1368988220.0,H1,1368973312,3a,C13,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,AMBIGUOUS,0.1639271974563598,AMBIGUOUS,0.1639271974563598
1368989372.0,L1,1368973312,3a,C11,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.4120590388774872,ROBUST,0.4120590388774872
1368989404.0,L1,1368973312,3a,C11,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.4345584809780121,ROBUST,0.4345584809780121
1368991452.0,L1,1368973312,3a,C2,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.0861303359270095,BACKGROUND,0.0861303359270095
1368991932.0,L1,1368973312,3a,C9,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,AMBIGUOUS,0.1654305160045623,AMBIGUOUS,0.1654305160045623
1368993020.0,L1,1368973312,3a,C11,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.4208893775939941,ROBUST,0.4208893775939941
1368993692.0,H1,1368973312,3a,C1,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.431799054145813,ROBUST,0.431799054145813
1368994780.0,H1,1368973312,3a,C9,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.206779196858406,ROBUST,0.206779196858406
1368996572.0,H1,1368973312,3a,C1,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.4349395632743835,ROBUST,0.4349395632743835
1368996764.0,H1,1368973312,3a,C2,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.4154054224491119,ROBUST,0.4154054224491119
1369185436.0,L1,1368973312,3a,C0,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,AMBIGUOUS,0.1595014184713363,AMBIGUOUS,0.1595014184713363
1369186304.0,L1,1368973312,3a,C13,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.0567808710038661,BACKGROUND,0.0567808710038661
1369187516.0,L1,1368973312,3a,C7,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.23771333694458,ROBUST,0.23771333694458
1369189084.0,H1,1368973312,3a,C2,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.4152038693428039,ROBUST,0.4152038693428039
1369189980.0,L1,1368973312,3a,C2,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.0767065361142158,BACKGROUND,0.0767065361142158
1369190172.0,H1,1368973312,3a,C8,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.4507196247577667,ROBUST,0.4507196247577667
1369190400.0,L1,1368973312,3a,C5,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.0555352047085762,BACKGROUND,0.0555352047085762
1369190400.0,H1,1368973312,3a,C10,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.42110806703567505,ROBUST,0.42110806703567505
1369190556.0,H1,1368973312,3a,C3,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.0789562985301017,BACKGROUND,0.0789562985301017
1369191196.0,L1,1368973312,3a,C2,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.0790772289037704,BACKGROUND,0.0790772289037704
1369191420.0,H1,1368973312,3a,C2,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.4117217063903808,ROBUST,0.4117217063903808
1369191484.0,L1,1368973312,3a,C7,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,AMBIGUOUS,0.17137511074543,AMBIGUOUS,0.17137511074543
1369193244.0,L1,1368973312,3a,C2,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.0754247829318046,BACKGROUND,0.0754247829318046
1369193596.0,L1,1368973312,3a,C6,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.3373517096042633,ROBUST,0.3373517096042633
