name,gps,snr,dl_mpc,cov_H1,cov_L1,overlap_H1,overlap_L1,class_H1,score_H1,class_L1,score_L1
GW240109_050431,1388811889.8,10.4,1500.0,True,False,False,False,,,,
GW240107_013215,1388626353.7,9.6,5800.0,True,True,False,False,,,,
GW240105_151143,1388502721.2,25.9,,True,False,False,False,,,,
GW240104_164932,1388422190.6,14.8,1910.0,True,True,False,False,,,,
GW231231_154016,1388072434.7,13.4,1070.0,False,False,False,False,,,,
GW231231_120147,1388059325.6,11.3,,False,False,False,False,,,,
GW231230_170116,1387990895.0,8.2,5700.0,False,False,False,False,,,,
GW231226_101520,1387620938.3,34.7,1180.0,False,False,False,False,,,,
GW231224_024321,1387421020.0,14.0,950.0,True,False,False,False,,,,
GW231223_202619,1387398397.0,10.1,890.0,True,False,False,False,,,,
GW231223_075055,1387353073.3,9.4,970.0,True,False,False,False,,,,
GW231223_032836,1387337334.1,10.2,4200.0,True,False,False,False,,,,
GW231221_135041,1387201859.3,10.0,4600.0,True,True,False,False,,,,
GW231220_173406,1387128864.2,7.9,,True,False,False,False,,,,
GW231213_111417,1386501275.9,10.4,4000.0,True,True,False,False,,,,
GW231206_233901,1385941159.5,21.9,1490.0,True,True,False,False,,,,
GW231206_233134,1385940712.5,12.8,3200.0,True,True,False,False,,,,
GW231206_010629,1385860007.2,9.7,,True,True,False,False,,,,
GW231204_090648,1385716026.9,8.4,,True,True,False,False,,,,
GW231129_081745,1385281083.6,9.4,3800.0,True,True,False,False,,,,
GW231127_165300,1385139198.9,9.9,4500.0,True,True,False,False,,,,
GW231126_010928,1384996186.3,9.1,,True,True,False,False,,,,
GW231123_135430,1384782888.7,21.8,2200.0,True,True,False,False,,,,
GW231120_022103,1384482081.0,10.0,,True,True,False,False,,,,
GW231119_075248,1384415586.1,8.3,6700.0,True,True,False,False,,,,
GW231118_090602,1384333580.0,11.0,1360.0,True,True,False,False,,,,
GW231118_071402,1384326860.2,9.2,4300.0,True,True,False,False,,,,
GW231118_005626,1384304204.8,10.7,2190.0,True,True,False,False,,,,
GW231114_043211,1383971549.2,10.0,1390.0,True,True,False,False,,,,
GW231113_200417,1383941075.9,10.5,1160.0,True,True,False,False,,,,
GW231113_150041,1383922859.4,8.7,5200.0,True,True,False,False,,,,
GW231113_122623,1383913601.9,8.6,3400.0,True,True,False,False,,,,
GW231110_040320,1383624218.2,11.5,1890.0,True,True,False,False,,,,
GW231108_125142,1383483120.5,12.6,2050.0,True,False,False,False,,,,
GW231104_133418,1383140076.9,11.8,1470.0,True,True,False,False,,,,
GW231102_232433,1383002691.5,7.6,,True,True,False,False,,,,
GW231102_071736,1382944674.4,15.6,3800.0,True,True,False,False,,,,
GW231102_052214,1382937752.4,7.9,,True,True,False,False,,,,
GW231029_111508,1382613326.8,10.8,3100.0,False,True,False,False,,,,
GW231028_153006,1382542224.3,22.4,4200.0,True,True,False,False,,,,
GW231026_130704,1382360842.2,8.3,4400.0,True,True,False,False,,,,
GW231020_142947,1381847405.6,12.0,1230.0,True,True,False,False,,,,
GW231018_233037,1381707055.0,9.1,1540.0,True,True,False,False,,,,
GW231014_040532,1381291551.0,9.0,2300.0,True,True,False,False,,,,
GW231013_135504,1381240522.4,8.4,,True,True,False,False,,,,
GW231008_142521,1380810339.8,9.3,3000.0,True,True,False,False,,,,
GW231005_144455,1380552313.4,7.3,,True,True,False,False,,,,
GW231005_091549,1380532567.5,11.0,3800.0,True,True,False,False,,,,
GW231005_021030,1380507049.0,10.4,6300.0,True,True,False,False,,,,
GW231004_232346,1380497044.3,8.9,4400.0,True,True,False,False,,,,
GW231002_143916,1380292774.7,9.4,,True,True,False,False,,,,
GW231001_140220,1380204158.7,11.5,4400.0,True,True,False,False,,,,
GW230930_110730,1380107268.4,9.0,4900.0,True,True,False,False,,,,
GW230928_215827,1379973525.1,10.5,4900.0,True,True,False,False,,,,
GW230927_153832,1379864330.9,20.3,1190.0,True,True,False,False,,,,
GW230927_043729,1379824667.1,12.1,3200.0,True,True,False,False,,,,
GW230925_143957,1379688015.5,8.0,,True,True,False,False,,,,
GW230924_124453,1379594711.8,13.5,2400.0,True,True,False,False,,,,
GW230922_040658,1379390836.1,12.5,6500.0,True,True,False,False,,,,
GW230922_020344,1379383442.9,13.4,1640.0,True,True,False,False,,,,
GW230920_071124,1379229102.7,11.1,2900.0,True,True,False,False,,,,
GW230920_064709,1379227647.3,9.5,,True,True,False,False,,,,
GW230919_215712,1379195850.0,16.8,1330.0,True,True,False,False,,,,
GW230914_111401,1378725259.7,17.2,2700.0,True,True,False,False,,,,
GW230911_195324,1378497222.2,11.1,1350.0,True,True,False,False,,,,
GW230904_152545,1377876363.2,9.2,,True,True,False,False,,,,
GW230904_051013,1377839431.1,10.5,1030.0,True,True,False,False,,,,
GW230902_224555,1377729973.7,7.5,,True,True,False,False,,,,
GW230902_172430,1377710688.8,8.5,,True,True,False,False,,,,
GW230902_122814,1377692912.9,8.1,,True,True,False,False,,,,
GW230831_134621,1377524799.7,8.8,,True,True,False,False,,,,
GW230831_015414,1377482072.1,8.6,4900.0,True,True,False,False,,,,
GW230830_064744,1377413282.2,8.5,,True,True,False,False,,,,
GW230825_041334,1376972032.5,8.8,4900.0,True,True,False,False,,,,
GW230824_135331,1376920429.9,9.7,,True,True,False,False,,,,
GW230824_033047,1376883065.7,11.1,4700.0,True,True,False,False,,,,
GW230823_142524,1376835942.6,8.8,,True,False,False,False,,,,
GW230822_230337,1376780635.5,8.3,,True,True,False,False,,,,
GW230820_212515,1376601934.0,9.3,4000.0,True,True,False,False,,,,
GW230819_171910,1376500768.4,9.9,4100.0,True,False,False,False,,,,
GW230817_212349,1376342647.1,7.8,,True,True,False,False,,,,
GW230814_230901,1376089759.8,43.0,290.0,True,True,False,False,,,,
GW230814_061920,1376029178.5,11.2,4000.0,True,True,False,False,,,,
GW230811_032116,1375759294.3,13.6,2100.0,True,True,False,False,,,,
GW230807_205045,1375476663.4,8.1,,True,False,False,False,,,,
GW230806_204041,1375389659.9,9.4,5500.0,True,True,False,False,,,,
GW230805_034249,1375242188.0,9.5,3500.0,True,True,False,False,,,,
GW230803_033412,1375068870.4,9.4,5000.0,True,True,False,False,,,,
GW230731_215307,1374875605.9,12.2,1100.0,True,True,False,False,,,,
GW230729_082317,1374654215.2,9.5,1640.0,True,True,False,False,,,,
GW230728_083628,1374568606.9,13.1,,True,True,False,False,,,,
GW230726_002940,1374366598.1,10.5,2100.0,True,True,False,False,,,,
GW230723_101834,1374142732.4,10.1,1610.0,True,True,False,False,,,,
GW230723_084820,1374137318.4,8.4,,True,True,False,False,,,,
GW230721_222634,1374013612.8,7.9,,True,True,False,False,,,,
GW230717_102139,1373624517.1,8.3,,True,True,False,False,,,,
GW230712_090405,1373187863.9,9.5,2000.0,True,True,False,False,,,,
GW230709_122727,1372940865.2,10.2,4700.0,True,True,False,False,,,,
GW230709_063445,1372919703.1,7.9,,True,True,True,False,BACKGROUND,0.0913848727941513,,
GW230708_230935,1372892993.5,10.0,3500.0,True,True,False,False,,,,
GW230708_071859,1372835957.4,9.1,,True,True,False,False,,,,
GW230708_053705,1372829843.1,8.9,3300.0,True,True,False,False,,,,
GW230707_124047,1372768865.3,11.9,4400.0,True,True,False,False,,,,
GW230706_104333,1372675431.2,9.2,1910.0,True,True,False,False,,,,
GW230704_212616,1372541194.7,8.7,7300.0,True,True,False,False,,,,
GW230704_021211,1372471949.2,9.4,2700.0,True,True,False,False,,,,
GW230702_185453,1372359311.7,10.1,2500.0,True,True,False,False,,,,
GW230702_162025,1372350043.9,9.2,,True,True,False,False,,,,
GW230630_234532,1372203950.4,9.9,1090.0,True,True,False,False,,,,
GW230630_125806,1372165104.9,9.0,5400.0,True,True,False,False,,,,
GW230630_070659,1372144037.0,9.8,,True,True,False,False,,,,
GW230628_231200,1372029138.4,16.4,2260.0,True,True,False,False,,,,
GW230627_015337,1371866035.8,28.7,305.0,True,True,False,False,,,,
GW230625_211655,1371763033.0,8.1,,True,True,False,False,,,,
GW230624_214944,1371678602.5,10.6,,True,True,False,False,,,,
GW230624_113103,1371641481.7,11.4,1930.0,True,True,False,False,,,,
GW230618_102550,1371119168.0,7.8,,True,True,False,False,,,,
GW230615_160825,1370880524.0,8.9,,True,True,False,False,,,,
GW230609_064958,1370328616.3,10.6,3400.0,True,True,False,False,,,,
GW230609_010824,1370308122.4,8.0,,True,True,False,False,,,,
GW230608_205047,1370292665.2,10.2,3500.0,True,True,False,False,,,,
GW230606_024545,1370054763.5,7.5,,True,True,False,False,,,,
GW230606_004305,1370047403.8,11.1,2800.0,True,True,False,False,,,,
GW230605_065343,1369983241.5,11.4,1060.0,True,True,False,False,,,,
GW230603_174756,1369849694.9,8.0,,True,True,False,False,,,,
GW230601_224134,1369694512.1,13.4,3700.0,True,True,False,False,,,,
GW231127_061546,1385100964.5,8.0,,True,True,True,False,ROBUST,0.4156478345394134,,
GW231113_112825,1383910123.5,7.8,,True,True,False,False,,,,
GW231113_062050,1383891668.9,8.5,,True,True,False,False,,,,
GW231025_142306,1382279004.1,8.3,,True,True,False,False,,,,
GW231024_023603,1382150181.2,8.3,,True,True,False,False,,,,
GW231007_134720,1380721658.8,8.1,,True,False,False,False,,,,
GW230902_150325,1377702223.2,7.8,,True,True,False,False,,,,
GW230610_061439,1370412897.4,8.3,,True,True,False,False,,,,
GW230606_065320,1370069618.1,12.6,,True,True,False,False,,,,
