shift_id,offset_s,covered_any,covered_both,overlap_any,overlap_both
0,15803589.85165508,114,76,3,0
1,8998967.803108778,122,92,4,0
2,17522463.11839239,118,82,4,0
3,14248270.98692594,115,71,4,0
4,1998915.9099632315,111,79,1,0
5,19898948.468098585,118,83,2,0
6,15543320.612139292,111,78,1,0
7,16049479.485842267,111,73,3,0
8,2688080.4069219152,113,71,2,0
9,9232657.472408019,111,71,3,0
10,7616417.956905567,106,63,1,0
11,18906772.687541865,113,77,0,0
12,13161755.312550103,111,61,0,0
13,16794713.73765871,110,77,1,0
14,9091078.18410591,118,78,3,0
15,4701073.066516535,114,78,4,0
16,11348686.020802766,108,69,7,0
17,1382375.3100611507,121,75,2,0
18,16893602.78835656,114,79,2,0
19,12913987.951611243,112,81,4,0
20,15481342.590557737,109,76,3,0
21,7285971.550394115,114,69,1,0
22,19798947.200201936,120,85,3,0
23,18223546.48336266,113,74,2,0
24,15893500.705175126,111,71,2,0
25,4039045.0235746168,107,77,1,0
26,9564383.45528712,117,67,1,0
27,975949.3541007271,114,86,2,0
28,3219649.2891109344,107,74,3,0
29,13957484.922866471,108,73,3,0
30,15210731.957313588,110,75,2,0
31,19734200.642380964,116,74,1,0
32,6703131.042926335,113,75,4,0
33,7609547.526273703,114,63,2,0
34,9621951.593064597,117,72,4,0
35,3934108.57174004,108,72,1,0
36,2724793.961750624,112,75,3,0
37,9746825.359825771,111,67,2,0
38,4694384.296785735,108,74,2,0
39,13688714.678414548,109,79,2,0
40,8963906.307691744,114,80,1,0
41,16996095.73426414,116,87,2,0
42,14307103.585420875,112,74,2,1
43,6429816.806529937,116,73,3,0
44,16987599.142813183,115,83,1,0
45,16429232.666302053,116,88,3,0
46,7955155.929993171,115,69,2,0
47,5941651.803373825,108,76,3,0
48,13946245.696522212,114,77,4,0
49,2924437.53614442,111,71,3,0
50,4146055.81258351,102,71,2,0
51,235910.02919551954,113,72,2,0
52,16066945.488562426,113,79,1,0
53,13587925.255328352,107,74,3,0
54,14406616.442992162,108,71,0,0
55,15941132.870381715,103,61,2,0
56,9405878.003322393,112,76,0,0
57,11636168.710932985,110,79,2,0
58,2925341.5191772166,111,68,3,0
59,2412230.921339134,122,77,2,0
60,13660059.986856181,105,74,2,0
61,9653233.315872278,117,82,3,0
62,11564988.75597739,112,84,3,0
63,15621690.79686168,109,76,2,0
64,12976005.755243998,115,70,2,0
65,11328269.036802316,114,78,0,0
66,11442555.33755356,107,75,1,0
67,6258897.011416303,107,69,1,0
68,712236.2572718863,112,80,2,0
69,8955082.053575123,109,66,1,0
70,4444099.7017498715,115,79,1,0
71,8382636.285302421,106,70,2,0
72,17416968.25070061,107,72,3,0
73,4837149.503158994,114,75,1,0
74,1270388.757124877,110,84,1,0
75,5800631.525625897,116,82,2,0
76,6048584.595222704,118,90,3,0
77,13528335.814467894,111,65,4,0
78,11398386.136885744,109,72,2,0
79,16005491.271249402,103,66,2,0
80,13577013.651552455,114,77,0,0
81,8339141.827380376,110,77,5,0
82,16617200.363643965,116,73,4,0
83,3477219.268317688,104,75,2,0
84,547627.696373185,106,76,0,0
85,1915055.9374874225,114,76,2,0
86,14755784.748172473,118,75,3,0
87,9466018.041053075,114,68,2,0
88,3361442.7799027716,115,70,2,0
89,10261416.874889065,107,74,3,0
90,3179493.257057939,109,73,2,0
91,14226995.648928633,108,76,1,0
92,9146763.181847187,116,80,3,0
93,7824026.651076928,108,81,4,0
94,6209386.901579417,107,68,2,0
95,12885926.78802114,114,74,2,0
96,7433945.770074031,112,75,4,0
97,1866359.5015036527,109,80,5,0
98,2482816.657902577,112,78,2,0
99,19620233.012605723,118,86,0,0
100,18537493.234613802,109,80,4,0
101,14295772.590575177,113,71,2,0
102,5485580.829335339,110,67,3,0
103,19768046.200626638,112,71,1,0
