candidate_id,gps_start,detector,legacy_class,score,class,variant
1368981884.0_L1,1368981884.0,L1,ROBUST,0.4383041858673095,ROBUST,idxq4-64_queryq4-64
1368986076.0_H1,1368986076.0,H1,ROBUST,0.3507210910320282,ROBUST,idxq4-64_queryq4-64
1368986812.0_L1,1368986812.0,L1,ROBUST,0.4305736720561981,ROBUST,idxq4-64_queryq4-64
1368987324.0_H1,1368987324.0,H1,BACKGROUND,0.0802247896790504,BACKGROUND,idxq4-64_queryq4-64
1368988220.0_H1,1368988220.0,H1,AMBIGUOUS,0.1639271974563598,AMBIGUOUS,idxq4-64_queryq4-64
1368989372.0_L1,1368989372.0,L1,ROBUST,0.4120590388774872,ROBUST,idxq4-64_queryq4-64
1368989404.0_L1,1368989404.0,L1,ROBUST,0.4345584809780121,ROBUST,idxq4-64_queryq4-64
1368991452.0_L1,1368991452.0,L1,BACKGROUND,0.0861303359270095,BACKGROUND,idxq4-64_queryq4-64
1368991932.0_L1,1368991932.0,L1,AMBIGUOUS,0.1654305160045623,AMBIGUOUS,idxq4-64_queryq4-64
1368993020.0_L1,1368993020.0,L1,ROBUST,0.4208893775939941,ROBUST,idxq4-64_queryq4-64
1368993692.0_H1,1368993692.0,H1,ROBUST,0.431799054145813,ROBUST,idxq4-64_queryq4-64
1368994780.0_H1,1368994780.0,H1,ROBUST,0.206779196858406,ROBUST,idxq4-64_queryq4-64
1368996572.0_H1,1368996572.0,H1,ROBUST,0.4349395632743835,ROBUST,idxq4-64_queryq4-64
1368996764.0_H1,1368996764.0,H1,ROBUST,0.4154054224491119,ROBUST,idxq4-64_queryq4-64
1369185436.0_L1,1369185436.0,L1,AMBIGUOUS,0.1595014184713363,AMBIGUOUS,idxq4-64_queryq4-64
1369186304.0_L1,1369186304.0,L1,BACKGROUND,0.0567808710038661,BACKGROUND,idxq4-64_queryq4-64
1369187516.0_L1,1369187516.0,L1,ROBUST,0.23771333694458,ROBUST,idxq4-64_queryq4-64
1369189084.0_H1,1369189084.0,H1,ROBUST,0.4152038693428039,ROBUST,idxq4-64_queryq4-64
1369189980.0_L1,1369189980.0,L1,BACKGROUND,0.0767065361142158,BACKGROUND,idxq4-64_queryq4-64
1369190172.0_H1,1369190172.0,H1,ROBUST,0.4507196247577667,ROBUST,idxq4-64_queryq4-64
1369190400.0_L1,1369190400.0,L1,BACKGROUND,0.0555352047085762,BACKGROUND,idxq4-64_queryq4-64
1369190400.0_H1,1369190400.0,H1,ROBUST,0.42110806703567505,ROBUST,idxq4-64_queryq4-64
1369190556.0_H1,1369190556.0,H1,BACKGROUND,0.0789562985301017,BACKGROUND,idxq4-64_queryq4-64
1369191196.0_L1,1369191196.0,L1,BACKGROUND,0.0790772289037704,BACKGROUND,idxq4-64_queryq4-64
1369191420.0_H1,1369191420.0,H1,ROBUST,0.4117217063903808,ROBUST,idxq4-64_queryq4-64
1369191484.0_L1,1369191484.0,L1,AMBIGUOUS,0.17137511074543,AMBIGUOUS,idxq4-64_queryq4-64
1369193244.0_L1,1369193244.0,L1,BACKGROUND,0.0754247829318046,BACKGROUND,idxq4-64_queryq4-64
1369193596.0_L1,1369193596.0,L1,ROBUST,0.3373517096042633,ROBUST,idxq4-64_queryq4-64
1369194496.0_L1,1369194496.0,L1,BACKGROUND,0.0757625624537468,BACKGROUND,idxq4-64_queryq4-64
1369195676.0_L1,1369195676.0,L1,ROBUST,0.4241111576557159,ROBUST,idxq4-64_queryq4-64
1369195996.0_H1,1369195996.0,H1,BACKGROUND,0.0771723091602325,BACKGROUND,idxq4-64_queryq4-64
1369196572.0_L1,1369196572.0,L1,ROBUST,0.4764287173748016,ROBUST,idxq4-64_queryq4-64
1369196796.0_L1,1369196796.0,L1,ROBUST,0.4501039981842041,ROBUST,idxq4-64_queryq4-64
1369197340.0_L1,1369197340.0,L1,BACKGROUND,0.0706294849514961,BACKGROUND,idxq4-64_queryq4-64
1369197564.0_H1,1369197564.0,H1,BACKGROUND,0.0956949591636657,BACKGROUND,idxq4-64_queryq4-64
1369198108.0_H1,1369198108.0,H1,AMBIGUOUS,0.1384861320257187,AMBIGUOUS,idxq4-64_queryq4-64
1369198556.0_H1,1369198556.0,H1,AMBIGUOUS,0.174470767378807,AMBIGUOUS,idxq4-64_queryq4-64
1369199228.0_L1,1369199228.0,L1,ROBUST,0.3823144137859344,ROBUST,idxq4-64_queryq4-64
1369199452.0_L1,1369199452.0,L1,ROBUST,0.4072257876396179,ROBUST,idxq4-64_queryq4-64
1369207516.0_H1,1369207516.0,H1,ROBUST,0.3110641539096832,ROBUST,idxq4-64_queryq4-64
