selection_ordinal,gps_start,gps_end,source_path,source_start,source_end,detector,run,calibration_score,bootstrap_block_index,sampling_strategy
0,1368980356.0,1368980388.0,E:\o4a\1368977408\H1_1368977408_1368981504.hdf5,1368977408.0,1368981504.0,H1,O4a,0.0554707385599613,296,run_spanning_complete_raw_blocks_within_block_even_spacing
1,1368980420.0,1368980452.0,E:\o4a\1368977408\H1_1368977408_1368981504.hdf5,1368977408.0,1368981504.0,H1,O4a,0.0587708875536918,296,run_spanning_complete_raw_blocks_within_block_even_spacing
2,1368980548.0,1368980580.0,E:\o4a\1368977408\H1_1368977408_1368981504.hdf5,1368977408.0,1368981504.0,H1,O4a,0.0635203644633293,296,run_spanning_complete_raw_blocks_within_block_even_spacing
3,1368980676.0,1368980708.0,E:\o4a\1368977408\H1_1368977408_1368981504.hdf5,1368977408.0,1368981504.0,H1,O4a,0.0707507133483886,296,run_spanning_complete_raw_blocks_within_block_even_spacing
4,1368980804.0,1368980836.0,E:\o4a\1368977408\H1_1368977408_1368981504.hdf5,1368977408.0,1368981504.0,H1,O4a,0.0619657337665557,296,run_spanning_complete_raw_blocks_within_block_even_spacing
5,1368980868.0,1368980900.0,E:\o4a\1368977408\H1_1368977408_1368981504.hdf5,1368977408.0,1368981504.0,H1,O4a,0.059568490833044,296,run_spanning_complete_raw_blocks_within_block_even_spacing
6,1368980996.0,1368981028.0,E:\o4a\1368977408\H1_1368977408_1368981504.hdf5,1368977408.0,1368981504.0,H1,O4a,0.059605423361063,296,run_spanning_complete_raw_blocks_within_block_even_spacing
7,1368981124.0,1368981156.0,E:\o4a\1368977408\H1_1368977408_1368981504.hdf5,1368977408.0,1368981504.0,H1,O4a,0.063810184597969,296,run_spanning_complete_raw_blocks_within_block_even_spacing
8,1368981252.0,1368981284.0,E:\o4a\1368977408\H1_1368977408_1368981504.hdf5,1368977408.0,1368981504.0,H1,O4a,0.0590867586433887,296,run_spanning_complete_raw_blocks_within_block_even_spacing
9,1368981380.0,1368981412.0,E:\o4a\1368977408\H1_1368977408_1368981504.hdf5,1368977408.0,1368981504.0,H1,O4a,0.058512695133686,296,run_spanning_complete_raw_blocks_within_block_even_spacing
10,1368994948.0,1368994980.0,E:\o4a\1368973312\H1_1368993792_1368997888.hdf5,1368993792.0,1368997888.0,H1,O4a,0.0584063306450843,304,run_spanning_complete_raw_blocks_within_block_even_spacing
11,1368995012.0,1368995044.0,E:\o4a\1368973312\H1_1368993792_1368997888.hdf5,1368993792.0,1368997888.0,H1,O4a,0.0757971405982971,304,run_spanning_complete_raw_blocks_within_block_even_spacing
12,1368995140.0,1368995172.0,E:\o4a\1368973312\H1_1368993792_1368997888.hdf5,1368993792.0,1368997888.0,H1,O4a,0.0609329715371131,304,run_spanning_complete_raw_blocks_within_block_even_spacing
13,1368995268.0,1368995300.0,E:\o4a\1368973312\H1_1368993792_1368997888.hdf5,1368993792.0,1368997888.0,H1,O4a,0.0583081394433975,304,run_spanning_complete_raw_blocks_within_block_even_spacing
14,1368995396.0,1368995428.0,E:\o4a\1368973312\H1_1368993792_1368997888.hdf5,1368993792.0,1368997888.0,H1,O4a,0.0583075918257236,304,run_spanning_complete_raw_blocks_within_block_even_spacing
15,1368995460.0,1368995492.0,E:\o4a\1368973312\H1_1368993792_1368997888.hdf5,1368993792.0,1368997888.0,H1,O4a,0.0604856871068477,304,run_spanning_complete_raw_blocks_within_block_even_spacing
16,1368995588.0,1368995620.0,E:\o4a\1368973312\H1_1368993792_1368997888.hdf5,1368993792.0,1368997888.0,H1,O4a,0.0612278841435909,304,run_spanning_complete_raw_blocks_within_block_even_spacing
17,1368995716.0,1368995748.0,E:\o4a\1368973312\H1_1368993792_1368997888.hdf5,1368993792.0,1368997888.0,H1,O4a,0.0535878986120224,304,run_spanning_complete_raw_blocks_within_block_even_spacing
18,1368995844.0,1368995876.0,E:\o4a\1368973312\H1_1368993792_1368997888.hdf5,1368993792.0,1368997888.0,H1,O4a,0.0614520534873008,304,run_spanning_complete_raw_blocks_within_block_even_spacing
