selection_ordinal,gps_start,gps_end,source_path,source_start,source_end,detector,run,calibration_score,bootstrap_block_index,sampling_strategy
0,1368977412.0,1368977444.0,E:\o4a\1368977408\L1_1368977408_1368981504.hdf5,1368977408.0,1368981504.0,L1,O4a,0.0798757746815681,295,run_spanning_complete_raw_blocks_within_block_even_spacing
1,1368977732.0,1368977764.0,E:\o4a\1368977408\L1_1368977408_1368981504.hdf5,1368977408.0,1368981504.0,L1,O4a,0.0604206062853336,295,run_spanning_complete_raw_blocks_within_block_even_spacing
2,1368978116.0,1368978148.0,E:\o4a\1368977408\L1_1368977408_1368981504.hdf5,1368977408.0,1368981504.0,L1,O4a,0.0684066787362098,295,run_spanning_complete_raw_blocks_within_block_even_spacing
3,1368978436.0,1368978468.0,E:\o4a\1368977408\L1_1368977408_1368981504.hdf5,1368977408.0,1368981504.0,L1,O4a,0.0673538967967033,295,run_spanning_complete_raw_blocks_within_block_even_spacing
4,1368978820.0,1368978852.0,E:\o4a\1368977408\L1_1368977408_1368981504.hdf5,1368977408.0,1368981504.0,L1,O4a,0.0680670142173767,296,run_spanning_complete_raw_blocks_within_block_even_spacing
5,1368979140.0,1368979172.0,E:\o4a\1368977408\L1_1368977408_1368981504.hdf5,1368977408.0,1368981504.0,L1,O4a,0.0580633915960788,296,run_spanning_complete_raw_blocks_within_block_even_spacing
6,1368979524.0,1368979556.0,E:\o4a\1368977408\L1_1368977408_1368981504.hdf5,1368977408.0,1368981504.0,L1,O4a,0.060596615076065,296,run_spanning_complete_raw_blocks_within_block_even_spacing
7,1368980612.0,1368980644.0,E:\o4a\1368977408\L1_1368977408_1368981504.hdf5,1368977408.0,1368981504.0,L1,O4a,0.056703045964241,297,run_spanning_complete_raw_blocks_within_block_even_spacing
8,1368980996.0,1368981028.0,E:\o4a\1368977408\L1_1368977408_1368981504.hdf5,1368977408.0,1368981504.0,L1,O4a,0.0557917989790439,297,run_spanning_complete_raw_blocks_within_block_even_spacing
9,1368981380.0,1368981412.0,E:\o4a\1368977408\L1_1368977408_1368981504.hdf5,1368977408.0,1368981504.0,L1,O4a,0.0577692873775959,297,run_spanning_complete_raw_blocks_within_block_even_spacing
10,1368993796.0,1368993828.0,E:\o4a\1368973312\L1_1368993792_1368997888.hdf5,1368993792.0,1368997888.0,L1,O4a,0.0624044239521026,305,run_spanning_complete_raw_blocks_within_block_even_spacing
11,1368994116.0,1368994148.0,E:\o4a\1368973312\L1_1368993792_1368997888.hdf5,1368993792.0,1368997888.0,L1,O4a,0.0561951547861099,305,run_spanning_complete_raw_blocks_within_block_even_spacing
12,1368994500.0,1368994532.0,E:\o4a\1368973312\L1_1368993792_1368997888.hdf5,1368993792.0,1368997888.0,L1,O4a,0.1028556302189827,305,run_spanning_complete_raw_blocks_within_block_even_spacing
13,1368994820.0,1368994852.0,E:\o4a\1368973312\L1_1368993792_1368997888.hdf5,1368993792.0,1368997888.0,L1,O4a,0.0590132549405097,305,run_spanning_complete_raw_blocks_within_block_even_spacing
14,1368995204.0,1368995236.0,E:\o4a\1368973312\L1_1368993792_1368997888.hdf5,1368993792.0,1368997888.0,L1,O4a,0.0616564266383647,306,run_spanning_complete_raw_blocks_within_block_even_spacing
15,1368995524.0,1368995556.0,E:\o4a\1368973312\L1_1368993792_1368997888.hdf5,1368993792.0,1368997888.0,L1,O4a,0.0933213084936142,306,run_spanning_complete_raw_blocks_within_block_even_spacing
16,1368995908.0,1368995940.0,E:\o4a\1368973312\L1_1368993792_1368997888.hdf5,1368993792.0,1368997888.0,L1,O4a,0.060573648661375,306,run_spanning_complete_raw_blocks_within_block_even_spacing
17,1368996228.0,1368996260.0,E:\o4a\1368973312\L1_1368993792_1368997888.hdf5,1368993792.0,1368997888.0,L1,O4a,0.0678951740264892,307,run_spanning_complete_raw_blocks_within_block_even_spacing
18,1368996612.0,1368996644.0,E:\o4a\1368973312\L1_1368993792_1368997888.hdf5,1368993792.0,1368997888.0,L1,O4a,0.0693544596433639,307,run_spanning_complete_raw_blocks_within_block_even_spacing
19,1368996996.0,1368997028.0,E:\o4a\1368973312\L1_1368993792_1368997888.hdf5,1368993792.0,1368997888.0,L1,O4a,0.0886882171034812,307,run_spanning_complete_raw_blocks_within_block_even_spacing
20,1369010180.0,1369010212.0,E:\o4a\1368973312\L1_1369010176_1369014272.hdf5,1369010176.0,1369014272.0,L1,O4a,0.0602757520973682,315,run_spanning_complete_raw_blocks_within_block_even_spacing
21,1369010500.0,1369010532.0,E:\o4a\1368973312\L1_1369010176_1369014272.hdf5,1369010176.0,1369014272.0,L1,O4a,0.0765649229288101,315,run_spanning_complete_raw_blocks_within_block_even_spacing
22,1369010884.0,1369010916.0,E:\o4a\1368973312\L1_1369010176_1369014272.hdf5,1369010176.0,1369014272.0,L1,O4a,0.0553526431322097,315,run_spanning_complete_raw_blocks_within_block_even_spacing
23,1369011204.0,1369011236.0,E:\o4a\1368973312\L1_1369010176_1369014272.hdf5,1369010176.0,1369014272.0,L1,O4a,0.0584077611565589,315,run_spanning_complete_raw_blocks_within_block_even_spacing
24,1369011588.0,1369011620.0,E:\o4a\1368973312\L1_1369010176_1369014272.hdf5,1369010176.0,1369014272.0,L1,O4a,0.0647154301404953,316,run_spanning_complete_raw_blocks_within_block_even_spacing
25,1369011908.0,1369011940.0,E:\o4a\1368973312\L1_1369010176_1369014272.hdf5,1369010176.0,1369014272.0,L1,O4a,0.060919314622879,316,run_spanning_complete_raw_blocks_within_block_even_spacing
