detector,gps_start,family,aux_channel,max_coherence,peak_freq,significant,data_available,note,dsd_class,dsd_score,taxonomy_representation
H1,1369305276,Singleton_1369305276,H1:CAL-PCALX_RX_PD_OUT_DQ,,,False,False,Fetch failed from nds.gwosc.org,ROBUST,0.4300166964530945,idxq4-64_queryq4-64
H1,1369305276,Singleton_1369305276,H1:CAL-PCALY_RX_PD_OUT_DQ,0.3834116445217695,180.0,False,True,,ROBUST,0.4300166964530945,idxq4-64_queryq4-64
H1,1369305276,Singleton_1369305276,H1:IMC-WFS_A_DC_PIT_OUT_DQ,,,False,False,Fetch failed from nds.gwosc.org,ROBUST,0.4300166964530945,idxq4-64_queryq4-64
H1,1369305276,Singleton_1369305276,H1:IMC-WFS_A_DC_YAW_OUT_DQ,,,False,False,Fetch failed from nds.gwosc.org,ROBUST,0.4300166964530945,idxq4-64_queryq4-64
H1,1369305276,Singleton_1369305276,H1:LSC-POP_A_LF_OUT_DQ,0.9871703681789477,20.0,True,True,,ROBUST,0.4300166964530945,idxq4-64_queryq4-64
H1,1369305276,Singleton_1369305276,H1:LSC-REFL_A_RIN_OUT_DQ,,,False,False,Fetch failed from nds.gwosc.org,ROBUST,0.4300166964530945,idxq4-64_queryq4-64
H1,1369305276,Singleton_1369305276,H1:SUS-ETMX_L1_CAL_LINE_OUT_DQ,0.2923421151824903,48.5,False,True,,ROBUST,0.4300166964530945,idxq4-64_queryq4-64
H1,1369305276,Singleton_1369305276,H1:SUS-ETMX_L2_CAL_LINE_OUT_DQ,0.2423157461874364,134.0,False,True,,ROBUST,0.4300166964530945,idxq4-64_queryq4-64
H1,1369305276,Singleton_1369305276,H1:SUS-ETMX_L3_CAL_LINE_OUT_DQ,0.2702644915825977,48.5,False,True,,ROBUST,0.4300166964530945,idxq4-64_queryq4-64
H1,1372736092,Family_01,H1:CAL-PCALX_RX_PD_OUT_DQ,0.1847079621682503,476.5,False,True,,BACKGROUND,0.1199751496315002,idxq4-64_queryq4-64
H1,1372736092,Family_01,H1:CAL-PCALY_RX_PD_OUT_DQ,0.2875344932330918,298.0,False,True,,BACKGROUND,0.1199751496315002,idxq4-64_queryq4-64
H1,1372736092,Family_01,H1:IMC-WFS_A_DC_PIT_OUT_DQ,0.3628724999460117,122.0,False,True,,BACKGROUND,0.1199751496315002,idxq4-64_queryq4-64
H1,1372736092,Family_01,H1:IMC-WFS_A_DC_YAW_OUT_DQ,0.4001601512859991,122.0,False,True,,BACKGROUND,0.1199751496315002,idxq4-64_queryq4-64
