detector,gps_start,family,source,dsd_class,dsd_score,taxonomy_representation
L1,1370926300,Family_01,family,ROBUST,0.219608873128891,idxq4-64_queryq4-64
L1,1383918620,Family_01,family,ROBUST,0.2772253155708313,idxq4-64_queryq4-64
L1,1382968796,Family_01,family,ROBUST,0.3423391580581665,idxq4-64_queryq4-64
H1,1388414492,Family_01,family,ROBUST,0.3899151384830475,idxq4-64_queryq4-64
L1,1373813628,Family_01,family,ROBUST,0.406109869480133,idxq4-64_queryq4-64
L1,1370953084,Family_01,family,ROBUST,0.4129555523395538,idxq4-64_queryq4-64
H1,1370330876,Family_01,family,ROBUST,0.4171993732452392,idxq4-64_queryq4-64
L1,1383719836,Family_01,family,ROBUST,0.4212601482868194,idxq4-64_queryq4-64
L1,1379439132,Family_01,family,ROBUST,0.42450812458992,idxq4-64_queryq4-64
H1,1377857596,Family_01,family,ROBUST,0.4278451800346374,idxq4-64_queryq4-64
L1,1377439420,Family_01,family,ROBUST,0.430944949388504,idxq4-64_queryq4-64
H1,1383979004,Family_01,family,ROBUST,0.4341764152050018,idxq4-64_queryq4-64
L1,1389011516,Family_01,family,ROBUST,0.4373535215854645,idxq4-64_queryq4-64
H1,1374464092,Family_01,family,ROBUST,0.4406278431415558,idxq4-64_queryq4-64
L1,1375260316,Family_01,family,ROBUST,0.4438816010951996,idxq4-64_queryq4-64
L1,1376689244,Family_01,family,ROBUST,0.4478968977928161,idxq4-64_queryq4-64
L1,1388678172,Family_01,family,ROBUST,0.4524491131305694,idxq4-64_queryq4-64
H1,1370219516,Family_01,family,ROBUST,0.4582412242889404,idxq4-64_queryq4-64
H1,1372441852,Family_01,family,ROBUST,0.4666833877563476,idxq4-64_queryq4-64
H1,1376545820,Family_01,family,ROBUST,0.4781690537929535,idxq4-64_queryq4-64
H1,1374963452,Family_01,family,ROBUST,0.5625473260879517,idxq4-64_queryq4-64
H1,1374142108,Family_01,family,AMBIGUOUS,0.13800710439682,idxq4-64_queryq4-64
H1,1379923932,Family_01,family,AMBIGUOUS,0.1440875679254531,idxq4-64_queryq4-64
H1,1381814428,Family_01,family,AMBIGUOUS,0.1507640331983566,idxq4-64_queryq4-64
L1,1378761340,Family_01,family,AMBIGUOUS,0.1543441414833068,idxq4-64_queryq4-64
L1,1378967996,Family_01,family,AMBIGUOUS,0.1584947556257248,idxq4-64_queryq4-64
L1,1378009564,Family_01,family,AMBIGUOUS,0.1616334319114685,idxq4-64_queryq4-64
L1,1369271388,Family_01,family,AMBIGUOUS,0.1648580282926559,idxq4-64_queryq4-64
H1,1379116124,Family_01,family,AMBIGUOUS,0.1688074022531509,idxq4-64_queryq4-64
H1,1379116028,Family_01,family,AMBIGUOUS,0.172880619764328,idxq4-64_queryq4-64
L1,1373815196,Family_01,family,AMBIGUOUS,0.1773176342248916,idxq4-64_queryq4-64
L1,1372237020,Family_01,family,AMBIGUOUS,0.1821765750646591,idxq4-64_queryq4-64
L1,1369524060,Family_01,family,AMBIGUOUS,0.1870284676551818,idxq4-64_queryq4-64
L1,1380566428,Family_01,family,AMBIGUOUS,0.1919731050729751,idxq4-64_queryq4-64
