gps_start,analysis_start,detector,pad_s,score,stored_pad4_score,pad4_anchor_abs_delta,fixed_pad4_threshold_class,pad_specific_threshold_class,pad_specific_ci_lower,pad_specific_ci_upper,representation
1387060956,1387060960.0,H1,4.0,0.20417934656143188,0.2041793018579483,4.470348358154297e-08,ROBUST,ROBUST,0.13023118793964325,0.2040884156525078,idxq4-64_queryq4-64
1387060956,1387060960.0,H1,16.0,0.20437520742416382,0.2041793018579483,,ROBUST,AMBIGUOUS,0.12798184379935182,0.21352421537041372,idxq4-64_queryq4-64
1387060956,1387060960.0,H1,64.0,0.20829026401042938,0.2041793018579483,,ROBUST,AMBIGUOUS,0.13209254726767536,0.2630360516905726,idxq4-64_queryq4-64
1387060956,1387060960.0,H1,128.0,0.20546557009220123,0.2041793018579483,,ROBUST,AMBIGUOUS,0.1436650867760179,0.33834537237881496,idxq4-64_queryq4-64
1386387836,1386387840.0,H1,4.0,0.20451472699642181,0.2045145183801651,2.086162567138672e-07,ROBUST,ROBUST,0.13023118793964325,0.2040884156525078,idxq4-64_queryq4-64
1386387836,1386387840.0,H1,16.0,0.20599053800106049,0.2045145183801651,,ROBUST,AMBIGUOUS,0.12798184379935182,0.21352421537041372,idxq4-64_queryq4-64
1386387836,1386387840.0,H1,64.0,0.19968144595623016,0.2045145183801651,,AMBIGUOUS,AMBIGUOUS,0.13209254726767536,0.2630360516905726,idxq4-64_queryq4-64
1386387836,1386387840.0,H1,128.0,0.1966746300458908,0.2045145183801651,,AMBIGUOUS,AMBIGUOUS,0.1436650867760179,0.33834537237881496,idxq4-64_queryq4-64
1388201532,1388201536.0,H1,4.0,0.2045896202325821,0.2045888900756836,7.301568984985352e-07,ROBUST,ROBUST,0.13023118793964325,0.2040884156525078,idxq4-64_queryq4-64
1388201532,1388201536.0,H1,16.0,0.22134539484977722,0.2045888900756836,,ROBUST,ROBUST,0.12798184379935182,0.21352421537041372,idxq4-64_queryq4-64
1388201532,1388201536.0,H1,64.0,0.19260463118553162,0.2045888900756836,,AMBIGUOUS,AMBIGUOUS,0.13209254726767536,0.2630360516905726,idxq4-64_queryq4-64
1388201532,1388201536.0,H1,128.0,0.18721042573451996,0.2045888900756836,,AMBIGUOUS,AMBIGUOUS,0.1436650867760179,0.33834537237881496,idxq4-64_queryq4-64
1380948700,1380948704.0,H1,4.0,0.20463676750659943,0.2046364843845367,2.831220627386166e-07,ROBUST,ROBUST,0.13023118793964325,0.2040884156525078,idxq4-64_queryq4-64
